CODIGO | SIGNO_PERMITIDO | DESCRIPCION_OPCIONAL
547       | +            | Total Ingresos Brutos
494       | +            | Gastos presuntos: 30% sobre el código 547, con tope de 15 UTA
467       |  +/-            | Total Honorarios
618       |  +/-            | Total Rentas y Retenciones
619       | +            | Impuesto Retenido del Total Rentas y Retenciones.
1058       |  +/-            | Mayor o menor percibido o devengado
1061       | +            | Mayor valor percibido o devengado afecto a impuesto
1062       | +            | Saldo de Ingreso No Renta a utilizar en los ejercicios siguientes
1100       | +            | Mayor valor devengado y no percibido en enajenaciones efectuadas en el ejercicio a declarar en los años tributarios siguientes
1987       |  +/-            | Enajenaciones a partes relacionadas / Mayor o menor valor percibido o devengado
1988       |  +/-            | Enajenaciones en menos de 1 o 4 años o BBR situados en el exterior / Mayor o menor valor percibido o devengado
703       | +            | Remanente ahorro neto positivo del ejercicio siguiente
705       |  +/-            | Base para débito fiscal del ejercicio a registrar en código 201
1814       |  +/-            | Resultado neto de las operaciones del ejercicio
1816       |  +/-            | Base imponible o pérdida del ejercicio
1654       | +            | Remanente para ejercicio siguiente
1096       | +            | Saldo rentas tributables acumuladas/TOTAL Saldo ingreso diferido a imputar en los ejercicios siguientes
1097       | +            | Incremento / TOTAL Saldo ingreso diferido a imputar en los ejercicios siguientes
1106       | +            | Crédito No sujeto a restitución/ TOTAL Saldo ingreso diferido a imputar en los ejercicios siguientes
1372       | +            | Crédito / Sujeto a restitución/ TOTAL Saldo ingreso diferido a imputar en los ejercicios siguientes
829       | +            | Remanente crédito IEAM a devolver a través de código 36
953       | +            | Remanente para ejercicio siguiente/Donaciones para fines culturales según art. 8° Ley N° 18.985
1174       | +            | Remanente crédito por IDPC para el ejercicio siguiente
1066       |  +/-            | Diferencia entre depreciaciones aceleradas y normales del ejercicio, anteriores
1672       |  +/-            | Resultado financiero 
1677       | +            | Gastos agregados por donaciones
1150       | +            | Ingreso diferido por cambio de régimen
1681       | +            | Impuesto específico a la actividad minera
1974       | +            | Componente ad valorem del royalty minero según art. 2 Ley N° 21.591
1975       | +            | Componente sobre la rentabilidad del royalty minero según art. 3 o art. 4 Ley N° 21.591
1728       |  +/-            | Renta líquida imponible antes de rebaja por incentivo al ahorro (art. 14 letra E) LIR) y/o por pago de IDPC voluntario (art. 14 letra A) N°6 LIR y art. 42° transitorio Ley N° 21.210) o pérdida tributaria
1690       |  +/-            | Se modifica texto código a: Renta líquida imponible afecta a IDPC o pérdida tributaria del ejercicio
1996       |  +/-            | Renta líquida imponible o pérdida tributaria, arts. 29 al 33 LIR (código 1728 recuadro N° 12)
1960       | +            | Pérdida de ejercicios anteriores
1967       |  +/-            | Renta imponible operacional minera ajustada (RIOMA)
1979       | +            | Base imponible / b) Componente sobre la rentabilidad, según art. 3 o art. 4 Ley N° 21.591
1694       | +            | Renta líquida imponible afecta a IDPC del ejercicio
1695       | +            | Pérdida tributaria del ejercicio al 31 de diciembre 
1696       | +            | Pérdidas de ejercicios anteriores (art. 31 N° 3 LIR)
1699       | +            | Remesas, retiros o dividendos repartidos en el ejercicio, reajustados
1182       | +            | Remesas, retiros o dividendos repartidos en el ejercicio, reajustados
1700       | +            | Ingreso diferido por cambio de régimen
1701       | +            | Incentivo al ahorro según art. 14 letra E) LIR
1702       | +            | Base del IDPC voluntario según  art. 14 letra A) N°  6 LIR
645       | +            | CPT positivo final
646       | +            | CPT negativo final
1698       | +            | CPT positivo final (recuadro N° 14)
1717       | +            | CPT negativo final (recuadro N° 14)
