PARAMETRO|VALOR|DESCRIPCION_OPCIONAL
P01|834504|
P02|0,5|
P03|139084|
P04|8345040|
P05|69751|
P06|904046|
P07|54242760|
P08|0,3|
P09|83450,4|
P10|2781680|
P11|0,05|
P12|41725200|
P13|0,75|
P14|1,016|
P15|45000000|
P16|0,15|
P17|0,02|
P18|1390840|
P19|0,4|
P20|11265804|
P21|0,01|
P22|0,2|
P23|1,036|
P24|0,1|
P25|0,35|
P26|0,27|
P27|41857379|
P28|0,4|
P29|0,334|
P30|0,012|
P31|70000|
P32|0,015|
P33|0,333333|
P34|1,034|
P35|166900800|
P36|2086260|
P37|973588000|
P38|69542000|
P39|0,04|
P40|674290|
P41|0,07|
P42|12517560|
P43|0,77|
P44|1,75|
P45|4,2|
P46|10431300|
P47|1,022|
P48|5000|
P49|0,7|
P50|6831|
P51|734848|
P52|20260508|
P53|20260430|
P54|695420|
P55|1,069|
P56|0,01|
P57|0,01|
P58|0,01|
P59|0,53846|
P60|0,495|
P61|0,395|
P62|0,35|
P63|0,2|
P64|0,25|
P65|2026|
P66|0,03|
P67|1000000|
P68|0,08|
P69|2025|
P70|69542|
P71|4|
P72|20230331|
P73|20231231|
P74|5000000|
P75|5000000|
P76|1,25|
P77|0,19|
P78|5|
P79|75105360|
P80|125175600|
P81|0,24|
P82|6676032|
P83|0,3|
P84|0,25|
P85|0,333333|
P86|23836776|
P87|39727,96|
P88|0,0005|
P89|8,33|
P90|69542000|
P91|556336000|
P92|50000|
P93|25000|
P94|500000000|
P95|300000000|
P96|0,5833|
P97|0,25|
P98|0,333333|
P99|0,05|
P100|50000000|
P101|1,028|
P102|357551640|
P103|198639800|
P104|675375320|
P105|69542000|
P106|69542000|
P107|417252000|
P108|347710000|
P109|13908400|
P110|0,35|
P111|1|
P112|0,8|
P113  |1,036|
P115|1,11111|
P116|3|
P119|200000000|
P120|62587800|
P121|3129390|
P122|2433970|
P123|625878|
P124|486794|
P125|0,7|
P126|28373136|
P127|109,47|
P128|0,32|
P129|139084000|
P130|13908400000|
P131|21326236514|
P132|173855000000|
P133|0|
P134|0,07|
P135|1,01|
P136|15000000|
P137|10000000|
P138|300000|
P139|25000000|
P140|70000000|
P141|35000|
P142|20130430|
P143|20150430|
P144|0,25|
P145|0,5|
P146|5563360000|
P153|25000|
P154|0,1|
P155|0,1|
P156|0,07|
P157|0,1|
P158|0,2|
P159|0,1|
P160|0,06|
P161|33380160|
P163|8818176|
P164|4185738|
P165|1,5|
P166|0,45|
P167|0,018|
P168|1,036|
P169|1,026|
P170|1,022|
P171|1,016|
P172|1,014|
P173|1,012|
P174|1,017|
P175|1,008|
P176|1,007|
P177|1,003|
P178|1,003|
P179|1|
P180|1,016|
P181|1,012|
P182|1,007|
P183|1,003|
P184|38384,41|
P185|38647,94|
P186|38894,11|
P187|39075,41|
P188|39189,45|
P189|39267,07|
P190|39179,01|
P191|39383,07|
P192|39485,65|
P193|39597,67|
P194|39643,59|
P195|49,694|
P196|53,765|
P197|57,288|
P198|60,887|
P199|2,046|
P200|1,995|
P201|1,906|
P202|1,849|
P203|1,796|
P204|1,779|
P205|1,736|
P206|1,675|
P207|1,034|
P208|534,43|
P209|0,5|
P210|0,35|
P211|39727960|
P212|397279600|
P213|1182214|
P214|50|
P215|0,11|
P216|800|
P217|200|
P218|1200|
P231|2024|
P239|45,652|
P240|2004|
P241|0,005|
P242|10000|
P243|200000|
P244|80000|
P245|2000|
P246|306667|
P247|0,08|
P248|50000000|
P249|20071231|
P250|250|
P251|1,667|
P252|13|
P253|12|
P254|0,03|
P255|1,1|
P257|6|
P258|0,00066|
P259|0,008|
P260|20000000|
P261|45202300|
P262|0,06|
